Title,Origin/Ethnicity,Director,Cast,Genre,Keywords,Year Binned
 102 Dalmatians,American,Kevin Lima,"Glenn Close, Gérard Depardieu, Alice Evans","comedy, family","['puppies', 'chloe', 'kevin', 'alonzo', 'fortune', 'dog', 'coat', 'dogs', 'paris', 'shelter', 'spots', 'original', 'dr', 'prison', 'bakery']",2000s
28 Days,American,Betty Thomas,"Sandra Bullock, Viggo Mortensen",drama,"['gwen', 'jasper', 'eddie', 'addict', 'rehab', 'andrea', 'lily', 'cruz', 'santa', 'recovery', 'roommate', 'fellow', 'drunken', 'facility', 'alcoholic']",2000s
3 Strikes,American,DJ Pooh,"Brian Hooks, N'Bushe Wright",comedy,"['robert', 'tone', 'mike', 'jenkins', 'prison', 'tape', 'blue', 'jay', 'pick', 'shooting', 'shooter', 'officer', 'detective', 'janitor', 'police']",2000s
The 6th Day,American,Roger Spottiswoode,"Arnold Schwarzenegger, Robert Duvall",science fiction,"['adam', 'clone', 'talia', 'hank', 'tripp', 'marshall', 'agents', 'gibson', 'replacement', 'thumb', 'ski', 'cindy', 'oliver', 'family', 'vincent']",2000s
The Adventures of Rocky and Bullwinkle,American,Des McAnuff,"Rene Russo, Jason Alexander, Robert De Niro, Piper Perabo, June Foray, Keith Scott",comedy,"['rocky', 'boris', 'karen', 'fearless', 'natasha', 'leader', 'television', 'narrator', 'president', 'university', 'cable', 'lewis', 'york', 'attorney', 'internet']",2000s
All the Pretty Horses,American,Billy Bob Thornton,"Matt Damon, Penélope Cruz, Henry Thomas, Lucas Black, Rubén Blades, Míriam Colón, Bruce Dern",western,"['cole', 'ranch', 'captain', 'horses', 'judge', 'texas', 'mexican', 'lacey', 'horse', 'aunt', 'john', 'mexico', 'riding', 'word', 'grandfather']",2000s
Almost Famous,American,Cameron Crowe,"Billy Crudup, Frances McDormand, Kate Hudson, Jason Lee, Patrick Fugit, Anna Paquin, Fairuza Balk","comedy, drama","['william', 'penny', 'russell', 'band', 'rolling', 'stone', 'anita', 'rock', 'jeff', 'article', 'san', 'journalist', 'writing', 'mother', 'plane']",2000s
American Psycho,American,Mary Harron,"Christian Bale, Chloë Sevigny, Willem Dafoe","comedy, thriller","['bateman', 'paul', 'harold', 'apartment', 'christie', 'jean', 'luis', 'evelyn', 'office', 'confession', 'cat', 'mistakes', 'atm', 'murders', 'stray']",2000s
Animal Factory,American,Steve Buscemi,"Willem Dafoe, Edward Furlong, Mickey Rourke",crime drama,"['rowan', 'sentence', 'helps', 'truck', 'inmate', 'prison', 'block', 'rape', 'guards', 'cell', 'stays', 'better', 'costa', 'milton', 'case']",2000s
The Art of War,American,Christian Duguay,"Wesley Snipes, Donald Sutherland",action,"['shaw', 'fang', 'chan', 'hooks', 'chinese', 'triad', 'gunman', 'wu', 'agreement', 'trade', 'tracking', 'novak', 'device', 'hong', 'triads']",2000s
Autumn in New York,American,Joan Chen,"Richard Gere, Winona Ryder",romance,"['charlotte', 'specialist', 'lisa', 'lines', 'surgery', 'poem', 'apartment', 'hat', 'bird', 'hospital', 'christmas', 'central', 'later', 'box', 'terrace']",2000s
 Bait,American,Antoine Fuqua,"Jamie Foxx, David Morse, Kimberly Elise",action,"['alvin', 'partner', 'double', 'stealing', 'unfortunately', 'sanders', 'edgar', 'angels', 'bug', 'combination', 'computers', 'reserve', 'doug', 'electronic', 'crossed']",2000s
Bamboozled,American,Spike Lee,"Damon Wayans, Jada Pinkett Smith, Savion Glover, Michael Rapaport, Tommy Davidson",satire,"['black', 'tap', 'montage', 'racist', 'network', 'does', 'tape', 'dancing', 'fires', 'television', 'famous', 'white', 'demands', 'julius', 'doing']",2000s
